,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-09-16,53.19622802734375,166.82437133789062,90.39199829101562,109.6907958984375,374.4241943359375,118.80309295654297,152.33372497558594,42.75429153442383,99.41324615478516,133.934814453125,37.8353385925293,192.06813049316406,204.54014587402344,149.8682403564453,107.52743530273438,45.793174743652344,112.88484954833984,102.9329605102539,46.217891693115234,184.65635681152344,115.52070617675781,67.23858642578125,130.21556091308594,82.59735870361328,105.79248809814453,130.677978515625,217.81765747070312,170.03663635253906,45.390323638916016,35.65964126586914
2019-09-17,53.38976287841797,169.09361267089844,91.12750244140625,111.00553131103516,379.71173095703125,117.92866516113281,152.1445770263672,42.28362274169922,99.22904968261719,134.43780517578125,37.05561447143555,190.9097900390625,203.84947204589844,150.0936737060547,107.31614685058594,45.5738525390625,112.9981460571289,102.42330169677734,46.457725524902344,186.83773803710938,114.43131256103516,67.63204956054688,131.22802734375,82.90022277832031,107.03815460205078,131.49057006835938,216.04299926757812,170.3649139404297,45.67258834838867,35.949676513671875
2019-09-18,53.89051818847656,167.64955139160156,90.87300109863281,110.71648406982422,381.8959045410156,116.94720458984375,152.0948028564453,42.223716735839844,99.46131896972656,134.9210662841797,36.677337646484375,191.9443359375,204.39842224121094,151.45521545410156,107.33119201660156,45.38963317871094,113.64302062988281,103.45124053955078,46.449161529541016,187.35411071777344,114.00236511230469,68.05008697509766,132.307373046875,83.3639907836914,107.2590103149414,130.79403686523438,214.26837158203125,169.24488830566406,45.718360900878906,36.15022659301758
2019-09-19,53.45265197753906,168.17393493652344,91.07499694824219,109.83068084716797,379.94891357421875,116.09956359863281,152.921142578125,42.09535217285156,99.04483032226562,131.46913146972656,36.77770233154297,190.3085479736328,201.99874877929688,150.3732452392578,107.89723205566406,45.2404899597168,113.3815689086914,103.12298583984375,46.69754409790039,187.43423461914062,113.7504653930664,68.82878112792969,134.74301147460938,83.00432586669922,107.69189453125,131.21372985839844,216.349609375,169.89178466796875,45.75649642944336,36.13479995727539
2019-09-20,52.67129135131836,169.28271484375,89.70800018310547,108.9075698852539,374.9579162597656,114.35075378417969,154.51405334472656,42.44620895385742,99.57343292236328,130.4532928466797,37.21773910522461,188.9910888671875,198.94378662109375,151.7617645263672,107.07463836669922,44.494815826416016,114.72357177734375,102.7083511352539,46.175071716308594,186.42816162109375,113.53942108154297,69.80420684814453,133.18612670898438,82.03892517089844,107.99225616455078,130.6243438720703,216.3867645263672,168.05735778808594,45.99299240112305,36.09467697143555
2019-09-23,52.91078186035156,169.98757934570312,89.26499938964844,110.250244140625,372.6254577636719,114.5827407836914,153.9664764404297,42.292179107666016,100.03797912597656,130.64068603515625,36.98614501953125,188.7435302734375,200.34286499023438,150.70680236816406,107.2179946899414,44.6527214050293,114.802001953125,102.6910629272461,46.3720703125,188.34237670898438,113.53942108154297,69.14846801757812,132.89955139160156,82.9948501586914,108.85802459716797,130.8565216064453,212.5587158203125,168.87799072265625,45.93196487426758,36.29217529296875
2019-09-24,52.6591796875,168.94749450683594,87.08049774169922,110.18498229980469,377.1914978027344,112.41456604003906,151.3779754638672,42.03544998168945,99.10890197753906,130.15740966796875,35.974830627441406,183.6946563720703,199.59909057617188,149.4624786376953,106.92367553710938,43.705284118652344,114.6364517211914,101.3521728515625,46.50910568237305,188.76976013183594,112.1640625,68.52550506591797,131.21849060058594,82.51216125488281,109.20258331298828,131.0440673828125,209.05589294433594,168.46287536621094,46.16081619262695,36.532840728759766
2019-09-25,53.46958541870117,168.5263214111328,88.41649627685547,111.07078552246094,381.6883544921875,112.9677734375,152.31382751464844,42.454776763916016,98.9246826171875,131.26202392578125,36.80857849121094,185.71066284179688,201.98101806640625,150.51744079589844,108.04061889648438,44.757999420166016,114.1484375,101.93092346191406,46.397762298583984,189.31288146972656,111.66023254394531,68.11566162109375,133.1096954345703,85.94783020019531,108.68135833740234,131.1333770751953,206.42640686035156,169.23524475097656,45.97772216796875,36.554443359375
2019-09-26,53.193809509277344,167.9418487548828,86.99199676513672,110.875,382.37030029296875,112.771484375,151.6667022705078,41.78727340698242,96.24150848388672,129.467041015625,36.461181640625,184.11024475097656,203.4775390625,150.60763549804688,108.33495330810547,44.670265197753906,112.28359985351562,101.09300994873047,46.5861930847168,189.28616333007812,111.54451751708984,68.75502014160156,133.28163146972656,87.2349853515625,109.82099914550781,132.24957275390625,200.21046447753906,169.59246826171875,46.107418060302734,36.50198745727539
2019-09-27,52.93497085571289,167.56361389160156,86.27249908447266,110.57659149169922,378.3873596191406,112.9499282836914,147.60472106933594,41.79582595825195,94.99202728271484,128.17501831054688,36.33766555786133,184.77337646484375,203.53953552246094,151.51834106445312,108.10099792480469,44.54745101928711,112.06572723388672,101.68904113769531,46.517677307128906,189.78477478027344,112.02111053466797,67.95991516113281,131.5527801513672,87.36749267578125,110.0506820678711,132.16029357910156,200.006103515625,167.99937438964844,46.00061798095703,36.54825973510742
